PDDL domain,PDDL problem,LTLf goal,PDDL2DFA (s),LTLf2DFA (s),Synthesis (s),Runtime (s)
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee2.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee2.ltlf,0.095,0.004,0.028,0.127
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee3.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee3.ltlf,0.105,0.006,0.054,0.165
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee4.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee4.ltlf,0.1,0.013,0.122,0.235
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee5.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee5.ltlf,0.131,0.025,0.265,0.421
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee6.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee6.ltlf,0.133,0.04,0.863,1.036
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee7.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee7.ltlf,0.113,0.093,1.622,1.828
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee8.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee8.ltlf,0.111,0.239,2.415,2.765
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee9.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee9.ltlf,0.139,0.954,7.135,8.228
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee10.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee10.ltlf,0.144,2.403,20.915,23.462
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee11.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee11.ltlf,0.134,7.018,103.601,110.753
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee12.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee12.ltlf,0.129,18.566,233.818,252.513
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee13.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee13.ltlf,0.144,81.947,206.759,288.85
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee14.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee14.ltlf,0.147,344.145,390.055,734.347
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee15.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee15.ltlf,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee16.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee16.ltlf,MEM,MEM,MEM,MEM
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee2.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee2.ltlf,0.155,0.085,0.032,0.272
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee3.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee3.ltlf,0.105,2.647,0.07,2.822
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee4.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee4.ltlf,MEM,MEM,MEM,MEM
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee5.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee5.ltlf,MEM,MEM,MEM,MEM
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee6.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee6.ltlf,MEM,MEM,MEM,MEM
